"ID","post_title","post_name","thumbnail_id"
"15450","Neck liposuction Delhi","neck-liposuction-delhi",NULL
"15449","Inverted Nipple Surgery Delhi","inverted-nipple-surgery-delhi",NULL
"15473","Buffalo hump removal surgery","buffalo-hump-removal-surgery",NULL
"15448","Hymenoplasty Delhi","hymenoplasty-delhi",NULL
"15447","Post Bariatric Surgery Delhi","post-bariatric-surgery-delhi",NULL
"15493","Labiaplasty Surgery Delhi","labiaplasty-surgery-delhi",NULL
"15492","Back liposuction cost India","back-liposuction-cost-india",NULL
"15491","Best Plastic Surgeon in Delhi","best-plastic-surgeon-in-delhi",NULL
"15490","Cosmetic surgery clinic Delhi","cosmetic-surgery-clinic-delhi",NULL
"15446","Rhinoplasty Surgeon Delhi","rhinoplasty-surgeon-delhi",NULL
"15521","Breast Reduction Surgery Delhi","breast-reduction-surgery-delhi",NULL
"15445","VASER lipo cost India","vaser-lipo-cost-india",NULL
